,label,sentence
440,joy,"i thought that i had failed an examination , but when i was informed about the mark , i saw that i had passed it"
441,fear,stopped at lights in mangere late one friday night on way home from work alone in car when someone came up behind the car and started banging and shaking it light was red and had nowhere to go until light changed when green i took off
442,guilt,i was keeping a friend ' s library book which went overdue my friend was charged for the delay in returning the book to the library i felt guilty when i realised i was responsible
443,fear,"one night going downstairs , and hearing a strong stirring of brances , which was not the wind"
444,joy,"this happened a year when i was having a hard time , i got admission to do research despite obstacles in the procedure of admission"
445,joy,six months ago when i got acquaintanced with a person whom i trusted infinitely and from whom i expected help and friendly feelings with him i found much in common in our views and in our fate
446,anger,"my mother and her friends were speaking badly about my father when they were separated , and my brothers and sisters and myself were allowed to listen"
447,sadness,when one of my closest friends failed to make it to the third year of university
448,sadness,when i came back from my holidays
449,shame,"my behaviour at a recent party i passed out early , luckily"
450,joy,"i had been very weary all week no letters , no phonecalls , no visitors and then my younger sister came with some cheese , a card and some pocket money for me and she told me that she was working now"
451,anger,in arguments with a close friend or relative where my point of view is completely disregarded
452,disgust,in the bus i was sitting next to a colleage who was drunk and behaved in keeping with his state
453,disgust,"my mother was always fastidious about my room , bed time , etc she treated us strictly and punished us physically these things were intolerable"
454,disgust,when i saw a lot of rubbish and animal waste on the floor
455,joy,after 10 days of hard work and having suffered many changes i passed my last exam
456,disgust,can ' t remember any episode of disgust
457,sadness,when i had to leave my mother and my sister after a week ' s visit
458,sadness,when i realized that it did not make much sense to start a relationship with a girl who was not very constructive to establish a firm relationship
459,sadness,deceived by other people and ran into trouble
460,disgust,"my room mate was drunk , he vomited on the floor and fell face down on the vomit nearly choking himself to death then he fainted and so i called the first aid"
461,disgust,someone ruining someone ' s property just for the fun of it
462,sadness,"recently , my sister in law ' s horse was poisoned by a plant and died the horse was very obedient and exceptional with children"
463,shame,i am chosen for the english lectures instead of my good friend and people told me that girls are more likely to be chosen
464,shame,when i failed to answer a simple question
465,disgust,"when i patronized a certain tavern which had prostitutes , it was almost a brothel"
466,shame,when the cast general election resulted in norway getting a conservative government
467,anger,someone spread rumours about me
468,disgust,when i worked at the life saving sevice and saw the first exitus
469,shame,i went to bed with a girl and the next day she thought it was the start of something serious and i just thought it was fun and i told her i wasn ' t interested in starting a serious relationship
470,shame,after a big fight with my parents
471,fear,"when i began school at uc the pre enrollment the classes , and the question of success really scared me"
472,fear,when my neighbour ' s life was threatened by someone who was trying to break into his house
473,guilt,"when my uncle found me having sexual intercourse with a distant relative of mine in the sitting room , on the couch i failed to stop and get up , i carried on"
474,sadness,my boyfriend decided to make an end to our relationship
475,anger,"when anybody wants to make me feel guilty for example i should do something for my mother , but things didn ' t go as she hoped then she threatens i ' ll do it myself"
476,joy,my boyfriend was playing with my cat he was playing games with her and telling nice things to her
477,sadness,when my gradmother died i felt very sad then the feeling started to be worse after a while
478,guilt,when i reproached my friend because i was myself low spirited and disappointed
479,guilt,"during a ski tour with a friend , we two had drunk too much when we went down the slope on ski , i lost my friend who had lost his way i thought that something must have happened to him ( he finally arrived but after a very long time )"
480,sadness,"watching an old lady running up the street to catch her bus and miss it , it reminded me of my own mother and how dreadful it would be to be her in the same situation"
481,disgust,"when i was denied my favourite dish at the dinning hall ( shima with roast chicken ) , i felt disgusted"
482,anger,when my dad told me about something he had done against my mother
483,anger,"sometimes when i go to work my crazy boss ( a hyper jewish lawyer ) insists i do things his way ( filing , typing , etc ) he sometimes blames me for things i didn ' t do , and i can ' t yell back at him"
484,joy,when i was accepted as supervisor for a student teacher the notification came by post
485,sadness,my sister lost one of her twin sons ( my first nephews ) and then the older one died a week later
486,fear,i was walking along the passage to my room ( very near the anatomy laboratory ) and i heard something and felt that there was some thing behind me i looked back and there was no one i started imagining that maybe it was a corpse
487,joy,when i recently got a very positive answer from a clinic telling me that they would willingly assist and collect data for me for a clinical pilot study
488,sadness,"my mother left my father for his best friend , and he moved to papua new guinea despite the fact that i am closer to my father than to anyone else in my family , i had to move in with my mother , and say good bye to my father , not knowing when i would see him again"
489,guilt,after an argument with a friend of mine
490,sadness,when i learnt that i had been betrayed by my friend
491,shame,sleeping with a girl on a saturday night and then not contacting her in later days
492,joy,i asked someone to go out and she accepted right away
493,shame,when i get an exam back with a grade that i did not desire then i get mad at myself and say that i could have done better
494,anger,"being subject to unfair treatment in a working group , someone bending the rules was protected by the boss this resulted in more work for the others"
495,shame,"talking about a person ' s unattractiveness , not realizing that the person was listening"
496,sadness,since i moved into the dorms and i ' ve been spending most of my free time with my boyfriend i hardly see my old high school friends i had several bad incidents with my 2 past best friends
497,joy,"when i was able to buy my new car , after lots of problems"
498,shame,a teacher spent a lot of time helping me without wanting to be paid for it for the exam i didn ' t got a good grade and i felt ashamed
499,shame,when i dated my friend ' s boyfriend after they had broken up
500,fear,vertigo standing on a ladder and painting the house
501,disgust,a friend of mine goes out with this guy she sleeps with him but is quite happy for him to play around as well as herself
502,guilt,"when i was young , i stole some money from my mother ' s purse it wasn ' t very much , but i can remember when she found it gone i felt very guilty"
503,shame,we had made an appointment to complete together a piece of work it appeared that i was the only one who hadn ' t prepared anything
504,disgust,i have an adopted aboriginal sister i felt disgust due to the racism she has been subjected to
505,guilt,my younger sister was almost run over by a lorry
506,sadness,when my cousin passed away during the holidays at home he fell ill at night and the next day he died in the evening
507,sadness,when my girlfriend was afraid and anxious the day before taking her exam
508,guilt,"one day at school i had quarrelled with a school mate , and ultimately i had hit him hard he , being physically weak had to visit his doctor and remain absent from school for two days"
509,guilt,a friend of mine trusted me to back her in a decision she had made but when the moment came i did not agree with her opinion
510,guilt,"for the sheer pleasure of it , i quarelled with my boyfriend who was trying to be especially kind to me"
511,guilt,"i had to call somebody between 12 and 12 30 as i had no possibility to call him at this time , i did not do it until 3 p m"
512,joy,winning a rowing race at a karapiro regatta with 7 other friends
513,joy,when i got the scholarship letter from australia
514,anger,i was a prefect at secondary school on the sports day i told others that i would take down the names of the people who misbehaved and after some time i sat down for a brief rest suddenly the head prefect came and scolded me in front of others i was very angry as there were other prefects sitting and he picked on me i thought that a brief rest was not serious enough to be blamed
515,disgust,"many times , when my father used to come home drunk and maltreated physically me and my mother"
516,sadness,"my father had a complicated operation a long time before and also a long time after that , we did not know how he would get over it during all that time i felt very sad"
517,anger,when i got low marks in b sc final
518,fear,i came home and discovered that someone had broken in then i realized that they probably were still there
519,sadness,when one of my closest friends died unexpectantly
520,fear,when i woke up at night to find a fire spreading towards the bed rooms i was very frightened as i realized that i faced death
521,joy,"i have a boyfriend and i am very fond of him when we had our 11 months jubilee , i had forgotten it but he gave me a red rose"
522,fear,"the night before my wife had given birth to our twins i felt fear in the hospital yard , i feared if everything was going to be in order"
523,shame,i was embarassed at the exam in microbiology i was ashamed with myself how little i knew and how good was the examinor i rarely become ashamed
524,joy,a good report card ( a scholarship ) in primary school
525,shame,immediately after the new year holidays i happened to visit a party where there was a lot of alcohol and i became drunk on the next day i felt sort of ashamed when i remembered what i had said and done on the night before
526,joy,when i received a letter of acceptance to cal
527,fear,"in a cottage in a large forest , i was alone for a while in the dark"
528,guilt,it was my turn to cook dinner i forgot a dish ( the favourite of the family ) in the oven and it got burnt and was uneatable
529,joy,"i was in a restaurant with my boyfriend when i saw my best female friend after not seeing her for two weeks we rejoyced , hugged and had a long talk"
530,joy,when i learnt that i could do further studies at the chinese university
531,fear,i was attacked by a man at a bus stop at night
532,joy,when fell in love with my present girlfriend
533,fear,watching a horror movie with friends
534,disgust,i felt disgusted when i went to one of the central hospitals where my hope of getting good treatment was turned down by one of the doctors who said i was alright despite my feeling pain
535,sadness,found out that my grandmother might have been misdiagnosed as a psychiatric patient because the doctor did not know about neurologism
536,anger,"when playing a football match , there was one player who made mean tackels , kicked at everything and did things having nothing to do with football"
537,guilt,"i read about the national and social spirit and self discipline of the people of developed coutries like u s a , england , france , germany etc comparing this to the indian people i felt guilty as they have no national spirit or self discipline"
538,disgust,a drunk man had fallen in the street and he was shouting obscene words
539,disgust,i work part time as a shop assistant and a customer spoke to me very loudly about an indian man white woman with children how horrible that was and would i want to have little dark children
540,fear,we were in the country and i walked away from the others one night suddenly something moved sharply in front of me and i was not able to see what it was
541,guilt,when someone is accused or punished instead of me
542,joy,when i received my u e accredited as i was totally unexpecting it and i was so happy
543,fear,once i was alone at home i suddenly felt unwell and there was no one to help me and call first aid
544,anger,once my father slapped my mother for a small quarrel
545,anger,when i was the target of a great many insults and completely unfair accusations of a large group of people
546,fear,"one evening i was watching the news on tv again they were talking about the danger of war suddenly i imagined what it might mean for me , for my friends , for the people close to me i felt it a very near and possible event"
547,anger,when my boyfriend wouldn ' t dance with me on my graduation night because he thought i could dance with my friends who were friendly
548,shame,i think that the only time i really felt shame was when i was very young and i had to defecate on the street i was very worried in case someone should see me
549,joy,"when my nephew was born the birth was hard , it was a big baby"
550,joy,i was talking to a friend and he said something which was very funny
551,guilt,a boy who shot dead a squirrel
552,disgust,one of these people who sell meat in town used a knife to stab his friend and later carried on using the same knife to cut meat
553,shame,when i forgot a promise made to a friend of mine
554,disgust,the serving lady in the students ' dining hall shouting at studennts
555,guilt,having been angry and unpleasant towards my parents
556,sadness,i felt alone among a large number of people i was sad to see that nobody cared about what was happening to me
557,joy,i was very happy when i got the message that i had been accepted as a student in medicine
558,guilt,when i do or say something inappropriate which hurts people close to me
559,fear,"i had a driver licence but i didn ' t drive for a long time , than i started to drive again , and had to get into hard transit and highways"
560,sadness,when my cousin passed away
561,anger,in form three we were taking our mock exams and someone else ( a friend ) was making noise when the examinateur picked on me and said that he would tear up my answer sheet i got very angry with the girls involved
562,guilt,"when they found out that i was absent from school , i had gone to the girl ' s secondary school"
563,joy,"my friend had organized a birthday party for me secretly , i was very happy not so much for the presents but because they seemed to care for me"
564,shame,taking part in the mobbing of some girls in my class in primary school
565,shame,"in an important situation for me , my father behaved inadequately"
566,disgust,"at a discussion a friend took a faschistic view , what i had not expected"
567,shame,"when i was caught telling a white lie at that time , i was not allowed to stay outdoors after 8 p m one day when i was late , i made up a story that our neighbour had invited me to his place , though i had actually forgotten about the time while playing with my pals"
568,joy,this emotion happened when i passed my primary school examination and was selected for secondary school
569,joy,when my boyfriend and i experience something nice or when we have made a nice walk together
570,shame,"some persons , who are important for me , came to see me and i had not washed the dishes"
571,guilt,i forgot about a close relatives ' s birthday
572,guilt,"while having an argument with my daughter , i got angry and over excited and said angry words"
573,disgust,finding out that my best friend was deceiving me
574,anger,when i was in f4 i played a basket ball match against another school ' s team one of their team members kicked a team mate of mine so i kicked him back and we had a fight with each other
575,shame,in a school parting we agreed to go to a restaurant we met at school and we separated us in several cars my car broke and we arrived late all those who already had arrived stand up and applauded us when we entered two hours late all the restaurant attention was turned on us
576,fear,one summer when i was camping with friends they devised and elaborate plan to scare me by having our camp attecked by a wild animal ( one of them ) and then convincing the campground was the home of a satanic organization
577,fear,"when i was working in delhi , i had gone alone to see the hostel where i would be residing"
578,guilt,while intoxicated i damaged my sister ' s car in a minor way and someone elses in a minor way
579,shame,when i failed psychology examination when most of the students passed
580,sadness,"i had a schoolmate who went to the hospital as her brain was bleeding she fell unconscious for three days and when i went to see her i saw the miserable state the family was in moreover i could not do nothing for her i was very sad finally , she died"
581,fear,"once , when i was very young , my mother left me alone in the house and came back very late"
582,guilt,i work at a commercial house from 7 to 10 a m on a very cold day in winter i was late and let a fellow worker stand in the cold for half an hour
583,sadness,a break up with someone i really liked
584,fear,once while crossing a road i was overcome with fear
585,sadness,death of my grnadfather after having been in hospital for so long with cancer of the oesophagus
586,shame,when i forgot about a meeting at work
587,sadness,"i felt sadness when i notice that i ' m not important for a determinate person we do many things for a friend , and we see soon after , that he doesn ' t do anything for us , nor thinks of us"
588,fear,when i almost fell down from some rocks because i had been acting foolishly and playing dangerously
589,guilt,"when in grade 3 , late home from school every day for weeks because of harassment from a grade 7 boy i lied to mother about why i was home late"
590,fear,doesn ' t apply
591,disgust,in ward 1a was an epileptic patient who was burnt the whole body and was stinking very much such that the whole ward was affected few people could come near him
592,anger,when i was talking to him at a party for the first time in a long while and a friend came and interrupted us and he left
593,fear,"one day before christmas , i went shopping with my brother and his friend we had a good time but on the way home we were almost in an accident because the weather was bad"
594,anger,"i was coming home in a taxi with a fellow worker of mine he was criticizing my earlier conduct towards him , which to my mind was unfounded when i reached home , i ran out of the taxi and slammed the door"
595,shame,"when i was 12 years old , some friends of our family had come to watch tv i lay on the floor and moved my pelvis when the other people had gone , my mother told me that it had looked as if i had wanted to make sex"
596,joy,when i qualified for form i i was one of the three pupils who qualified for form i that year
597,sadness,when i was ditched by my girlfriend
598,guilt,a person i was attracted to walked me home in the rain and got sick
599,sadness,a girlfriend ended our relationship in an abrupt and unexpected manner
600,disgust,i was most disgusted when i had to make a nagging three day journey recently from calcutta to bombay it was very boring and tiring
601,shame,i had reacted angrily at a friend for no fault of his i had raised my voice and had not cared for his opinion
602,sadness,when my best friend promised to come at my house and i had to prepare so many expensive things for her but only to learn at last that she would not turn up
603,anger,"nearby the end of the year my wife and i were having a car ride , when it appears another vehicle , driven by a drunk driver and provokes an accident"
604,shame,"when my mother asked me to do a job for her which does not require much effort on my part , yet i refused for selfish reasons and saw her have to do it"
605,fear,when i was left alone at home one night by my brother
606,guilt,"having suffered a not very pretty sight , i reacted by uttering some very cruel and sharp words"
607,disgust,about my girlfriend ' s sister who is a viper as i discovered some time ago
608,joy,"when i passed my driving test , as it was the fifth time that i had taken this test"
609,guilt,i prayed unfaithfully
610,anger,"the day the results of the chinese university was announced i should have been very happy however my grandmother , because of her prejudice and misunderstanding , started a quarrel with my mother she expected me to take her side and she deliberately talked of my mother ' s wrong doings i was very angry because one my grandmother was not being reasonable and two because it should have been a happy day and three we had moved into a new house that day"
611,anger,when my wife told me that the refrigerator had stopped working
612,fear,when i was sitting in a car next to a man who was masturbating
613,guilt,no response
614,anger,last semester when i dated a girl whom i ' ve known for almost a year however one night she said she wanted us to be just friends i confided this to a friend jim i was really suffering a month or two later he broke up with his old girlfriend and they started going out regularly i have no girlfriend nor have i had a romantic relationship of any significance i feel some anger but we are friends again
615,fear,travelling by coach on a rather narrow and wet road
616,anger,"i went to the school library and asked for a book , but the librarian told me that there wasn ' t such however when an other colleague asked for it she gave it to him"
617,shame,when i purposely locked my babysitter out of the house at age 4 because i didn ' t like her
618,shame,no response
619,disgust,when a friend of mine got drunk and started to blame and scorn my other friends and me
620,anger,i was angry when i heard that my only girl was going about with another man so i decided to drop her but later the story came to be untrue
621,disgust,the male friend of my mother ( a widow ) moved in to live with us i did not like the man
622,disgust,seeing a friend making love to a high school girl i accidentally was dragged into this room where the happenings had occurred i was disgusted at the reality
623,guilt,"guilt at having pressed another person to expose explore his personal weaknesses faults , to the extent that the other person was made to feel terrible defensive"
624,guilt,did not read reference when other people read them
625,disgust,"i hate the behaviour of my so called friends , they use bad language , spit , boast and treat the youngsters badly"
626,fear,first time in anatomy
627,joy,i was filled with joy when i heard that i had been selected for a university course
628,joy,"achieving my goal at a swim meet i worked toward the goal for 9 yrs i was capable of achieving it , but i didn ' t know when"
629,joy,"when i was with the girl i love very much , for the graduatiion ball"
630,guilt,i was pregnant and thought that by not having the baby i would hurt the father like he did me regardless of the life we had created
631,shame,caught lying to my father about a speeding ticket i had received
632,sadness,"when i read the diary of the girl with whom i was living , it was about another boy with whom she had been going around some time back"
633,fear,every time i see a spider or a snake
634,disgust,when i was teaching a student started making silly remarks in class
635,shame,can not think of anything
636,joy,i finished my homework an important task
637,shame,i feel shy to show all my worth when i work for the first time with a conductor or a producer unfamiliar to me
638,joy,when i got the scholarship i was very happy as the finacial burden of the family was reduced
639,joy,a recurrent lovesickness
640,sadness,death of paternal grandmother to whom i was very close died of cancer
641,fear,"when my brother went to shoot wild ducks , i feared that the boat would overturn and he would drown or that the gun would accidentally go off"
642,joy,when i got the loan for my studies
643,sadness,hearing of the death of a friend who had been skiing
644,shame,in 1972 i failed my examination because of my own crooky behaviour of dodging from examinations
645,joy,when i was accepted as a student
646,guilt,making a sexual pass at my cousin with whom i have a very close personal relationship
647,anger,seeing for the first time pictures about the so called treatment of jewish people in nazi germany during world war ii
648,shame,had a very good friend we grew apart i found myself running her down to other friends
649,fear,"one day i was near home , kissing my boyfriend in a car when my mother appeared and asked me to go home , because she didn ' t know about the event"
650,joy,"every time , in the last few days , when my girlfriend told me that she loves me"
651,sadness,when my grandmother died
652,guilt,"i was cold to my sister without meaning it , just because i was upset and frustated"
653,disgust,"while travelling in a bus , there were three people sitting behind me ( two men and a woman ) they were drunk and the conversation was unbelievable ( about fucking , fellatio , etc ) they tried to get others to take part in the conversation i loathed it and felt like crying"
654,disgust,"when i had exams a relative of ours , who lives in another city , came to visit us and i felt disgusted at him"
655,joy,"when i finished my exams after 12th grade , i was worried about getting a t e score high enough for physiotherapy when i found that i had been accepted i was ecstatic , or more appropriately , could jump for joy"
656,shame,one day in the intimity with my girlfriend i had an ejaculation
657,fear,when i was confronted by a policeman one night around 11 o ' clock i was afraid when they threatened to take me and my girl to the gallows
658,sadness,i felt sad when my father was sick
659,disgust,on my way to a concert i went with a man who tried to molest me at that moment i did not care much but now the impression fills me with disgust
660,disgust,i saw in the street a man spitting
661,guilt,"i was so excited once that i told my classmate that she was old , this hurt her and i felt guilty"
662,disgust,"spoilt , smashed and molded potatoes in the fridge , and having to clean up the dish later"
663,shame,i was ashamed when my classmates discovered that i fell in love with an uneducated girl
664,joy,"i went shopping with my parents my father payed everything for me , i was very glad"
665,joy,when i heard my name being announced on the radio that i had been successful in an interview for admittance for a medical assistant training course i was really happy and i enjoyed myself by dancing to music from the radio cassette
666,joy,finding out i was chosen for the english lectures
667,shame,criticized in front of the class
668,fear,"one evening , while going to meet a friend of mine , i had to cross a meadow by a dark road there were bushes on the other side of the road the weather was damp and a bit foggy i heard steps behind me and kept speeding up my steps all the time"
669,joy,"i was in ilha grande with a wonderful sun , with wonderful people , with a wonderful sea , with a wonderful boy"
670,sadness,my got my mathematics test ' s marks and could not believe that it was true in the past i would have at least 80 marks was i getting weaker at studies ? this made me feel that i should not expect too much from going to the university
671,anger,i planned to travel a distance of 20 kilometres on my bike i planned this when i was working in the hospital when i went to the house i found that a friend had taken my bike without my consent
672,anger,i was enjoying the company of bird life while i was eating lunch in a park when a group of people began throwing sticks at some of the birds for no reason other than the satisfaction of seeing them being scared away
673,sadness,when my grandfather died
674,shame,i was ashamed when a certain friend of mine i used to move with failed to propose to a lady yet we always said to ourselves no lady can refuse our proposal
675,anger,"when my father talks about our relatives and favours them , i feel angry"
676,anger,"this summer i got into a fight with one of our patrons ( at a theatre ) he hit me and i hit him and her friend , he hit my friend and we all hit eachother"
677,guilt,i felt guilty one day when i was accused of running away from classes and i was caught
678,guilt,"when i gave in to what my wife wanted and locked the cat out , it was killed by the dogs"
679,joy,when i saw that i had passed an exam it was the last chance and there was a lot at stake
680,joy,"when i was at school , no one thought i could pass my mce so at the end of the year my name was announced on the radio that i had passed i was the happiest person"
681,sadness,hearing about a friend back home that had to have his stomach pumped because he had overdosed on pills
682,fear,"when i was curious about it and went to a spiritism session with a friend i had already been there other times ( many times when i was younger ) but that day , even if i don ' t believe in spiritism i was terribly afraid that something would happen to me ( sort of incorporation ! )"
683,fear,when i was called for an interview at kamuzu college of nursing
684,shame,i was ashamed at myself for having shouted at my daughter because of my marital break up and the unfair way i was treated
685,fear,"sometime back , my boyfriend and i were having a walk nearby my parent ' s house suddenly we met my grandfather and i was afraid that he would report to my parents"
686,sadness,after my father ' s death
687,anger,"in the student kitchen that we share , somebody drank from my juice pot ( one litre ) so that i only got one glass out of the whole pot"
688,shame,one night a friend found out that i dumped one girl for another and he proceded to lecture me
689,joy,finding out that i am not ill ( not seriously )
690,shame,as a child being sent to the shop by mother buying some chocolate getting caught by mother
691,guilt,i chatted up with a girl who i didn ' t love she however was fallen in love with me i felt responsible for her sorrow
692,disgust,"when i was travelling to school by bus , i went past a place where a sewer had been repaired there was a bad strong smell which suffocated me and i wanted to leave the place immediately"
693,anger,"when my room mate was making noise deliberately , by playing a flute early in the morning while i was trying to study"
694,anger,"i was annoyed this particular day as it seemad that the odds were not in my favour my grandfather added fuel to the fire , when i had an important appointment so i unleashed my anger on him"
695,fear,"when my father suffered with dizziness he had to be hospitalized , because the physician didn ' t know what was wrong because his stools were black , i thought it could be cancer"
696,fear,i was walking home with a friend at night along a quiet street something started rustling in the bush it was an exhibitionist
697,disgust,"i found a cockroach crushed between two folders in my bedroom , i called my mother"
698,anger,meeting generally dominating persons in social occasions
699,joy,after the term exams i happened to meet a person that i respect and of whom i think very highly it was nice that although we see each other rarely he had not forgotten me
700,disgust,with an alcoholic
701,disgust,i was disgusted at the university wanting some of us to travel from our homes to the lectures here every day the way the whole thing was handled disgusted me
702,joy,when i got a wedding ring of diamond from the boy i loved
703,shame,"a few years back i had proposed love to a girl who later turned out to be related to me though we were in love with each other , we both felt ashamed and withdrew from each other"
704,disgust,"i went out with my sister , her boyfriend and his friend i did not like this young man but suddenly he overcame me and kissed me he was very strong so that i could not defend myself"
705,sadness,"my sweatheart were away on a trip , and then she got problems"
706,anger,my girlfriend mentioned a certain girl ' s name who was my girl some time back and she is no longer mine that she said she was still mine
707,fear,a neighbour ' s girl had disappeared and many people were looking for her someone had gone to notify the police something had certainly happened to her
708,fear,before one of my final exams of the third year natural sciences
709,guilt,"someone had to do a lot of efforts to make something work with my help he would have finished much sooner , but i wasn ' t in the mood to help him"
710,fear,"when i went up the stairs in a high , dark house full of shadows , passed a door and had the feeling that someone or something was behind me , although i knew i was alone"
711,joy,when i finished my c s project i was overjoyed i felt relieved because it was due the next day and i was tired of looking at it
712,fear,afraid of a dead body
713,sadness,when my dog died
714,sadness,my grandmother died suddenly last summer
715,anger,someone called me a disgusting nickname
716,joy,"when i felt that an exam , which i had feared , was an easy one and went well"
717,fear,mugged while on holiday in the u s a
718,fear,while trying to board a train i missed the footsteps and fell down on the platform
719,anger,when i had a serious argument with a dear person
720,fear,"i lived in a student house , where you shared the lavatory and shower with a fellow student the shower cubicle formed the connection between both appartments my neighbour very often was drunk and aggressive one night , i was afraid that he would enter my room"
721,sadness,i had been caught red handed having stolen some paw paw i was then taken the elders owning the paw paws
722,joy,getting university entrance accredited and arriving home from boarding school on accrediting leave
723,shame,i had subscribed for this test we were informed by our secretary where the test took place we went over there and thought there was a course so we went back again i felt ashamed that the secretary again should see me
724,shame,when the brother in law of a girlfriend of mine found us in a bedroom with clothes and panties spread all over the place
725,joy,when i was complimented and called delightful
726,sadness,i was sad at the expulsion of some of my comrades during the unza demonstrations
727,disgust,prolonged niggling of friend on a single theme which i considered of no consequence
728,sadness,"i couldn ' t sleep , and began to remind of my childhood we are many sisters and at that time we were spanked a lot and i don ' t know why i started to remind of the spanks they and i had had , their shouts when this happened"
729,sadness,when my dog was stolen
730,anger,i was angry at the cafeteria when the cook scolded and said many bad things about me without reason he thought i was among the girls who did him wrong
731,fear,i needed a recommendation for something i decided that the best person to get one from was a professor who i had never talked to before i felt a lot of fear going up after class to ask him to recommend me considering he had never heard my name before but i did
732,sadness,"i felt very sad when i left home because i could not stand it any longer i do not regret it , but i missed my little sister very much ( and she missed me ) these feelings wear off over time"
733,shame,not having owned up to the responsibility an incident where family car received minor damage
734,anger,"i had got a bad cold my father said i must be crazy to go by motorbike at those temperatures when i answered him that i did not care about a cold , he said that if i did not care for anything i could leave him ( it was for the second time he said something like that )"
735,anger,"as i usually do not start learning until a short time before an examination , , i once made up my mind to try to work for a longer time but once again i did not do it and got a bad mark"
736,anger,somebody wanted to beat my brother at a wedding ceremony and i was trying to protect my brother but the other man was calling names to both of us
737,guilt,not handing in homeworks in time
738,fear,my mother did not come home till late at night ( ages ago ) anyway if i don ' t know where my parents are and when they ' ll be back i start thinking that perhaps they have had an accident and are perhaps dead
739,joy,when i got engaged to a boy of my choice
740,fear,"i work at a day care centre , and one day when the children were outdoors a four year old boy disappeared from the yard i was not looking after them then , but as the manager it was me who was responsible"
741,guilt,when i was face to face with my deceived friend after sleeping with his wife
742,anger,"i was having an argument with my brother on his behavior , then we started fighting and i got annoyed at him because he started teasing me"
743,shame,"a truth expressed unthinkingly at a coffee party i realized later that i had been inconsiderate , at a wrong moment and the wrong place"
744,disgust,"after a pleasant evening with friends in my flat , one of them did not want to leave , because he wanted to sleep with me he said that he had fallen in love with me , that he felt alone and so on"
745,disgust,"now that the 49ers are winners , the fans are coming out of the woodwork and jumping on the bandwagon and that disgusts me"
746,disgust,one day my colleague misbehaved with me i felt disgusted and thought to myself that he could only do this because i was a woman
747,fear,i was scared when i realized that i might miss the train which i was supposed to take i was 1500 kilometres away from home and when i heard the depart whistle i was still 150 feet away from the train i finally made it
748,disgust,some boys boasting about their ability to tell dirty jokes
749,disgust,i have experienced disgust with some people usually double dealers
750,fear,"being alone in europe and having to catch a train and bus to the airport , then board the plane alone"
751,joy,got a big fish in fishing
752,guilt,i spied on my fianct and was terribly jealous later i saw that there was no reason for that
753,guilt,when i told my uncle a false story that people had stolen the books from my room and i demanded money from him when he found out the truth i was in trouble
754,fear,before the first examn
755,fear,"when i did not get admission in m sc after my b sc , i felt really bad when i started my journey to bombay , after having accepted my uncle ' s offer to come to bombay , i was afraid , wondering if i would succeed or not"
756,guilt,a person misinterpreted what i had told her i had told her that i had failed to insert a nasogastric tube but she went and scolded the patient that she was being uncooperative
757,sadness,my father left us for another woman
758,joy,"i was appreciated by others , especially my family members and my friends"
759,guilt,"when i took a car which was not mine , and suddenly it stopped working"
760,sadness,my boyfriend didn ' t turn up after promising that he was coming
761,anger,argument with roommate over a lock he had put on kitchen cupboard without telling anyone
762,sadness,"i have a very close friend who lives in another city and we have been writing to each other for a long time the last time i went to her city , just to see her , i was disappointed to see how great the distance between us was"
763,fear,a time when i was very afraid of something was when i broke my father ' s antique lamp
764,fear,"when i was young i had gone to an old lift and played with the antique lift the guy discovered me and warned me , i was very frightened"
765,shame,i had a feeling of shame when i found myself unable to answer some questions from my tutor simply because of a lack of preparation
766,guilt,one of my pupils escaped from school to the street
767,fear,i felt fear when my mother was heavily ill
768,anger,when i told off a computer teacher who did not want to teach me beacause of prejudice
769,fear,"almost crashing my car , something which could have led to great problems"
770,disgust,when in my childhood we were forced to take cod liver oil
771,disgust,"a certain girl asked me what my major was and when i told her that it was p a she started criticizing it saying , i hate that course she just shows off in front of other people"
772,sadness,a very close friend left me
773,disgust,maltreatment of children
774,shame,i feel ashamed every time that someone makes me a positive or negative critic
775,shame,"when i was a child , i had a medical check up i had to undress myself and was examined by several doctors"
776,anger,i had too much homework and examinations and i did not know how to organize my work
777,disgust,i went to a party and there were some cakes which weren ' t good and had a bad smell
778,fear,"once when i crossed the street , and was nearly trampled by a car"
779,sadness,"got a package from my parents , without even a small note enclosed"
780,shame,"i had been rude to my mother at a time when she needed comforting , not anger ( death of my sister )"
781,shame,when i stole a packet of cigarettes from a neighbour and the next day i owned up and returned it
782,anger,after an examine i had been satisfied with
783,sadness,when i left a man in whom i really believed
784,anger,when my daughter began staying away from classes at the age of nine only
785,fear,"i and my cousin went to a filmshow at night we went without making it known to my mother while we were there at interval , i came across my mother just close to where we sat"
786,guilt,when i shouted and quarrelled and for no reason i had been rude to my mother and when my behaviour had been influenced by other outward factors
787,guilt,saw a blue film in a cinema
788,shame,i wore a dirty dress a certain day i was going to town i met an old friend who made a comment about my dress so i felt ashamed
789,disgust,my roommate messing up our room
790,shame,when i was young i felt ashamed when our relatives visited us and i hid myself
791,shame,when i failed the grade seven exams
792,disgust,"i felt disgust with the alcohol , after i happened to see a young man , who was dead to the world and who wallowed on the pavement this sight i watched from the bus"
793,disgust,"one of my flatmates and i came back to the flat monday morning , to find a real mess , left by the guy we share with"
794,disgust,"this happened when i could not get into the school i had initially wanted , and ended up doing something i had never thought i would do"
